"","V1","V2"
"87","The Lovin' Spoonful","The Animals"
"88","The Lovin' Spoonful","The Mamas & the Papas"
"89","The Lovin' Spoonful","Billy Stewart"
"90","The Lovin' Spoonful","Oliver"
"91","The Lovin' Spoonful","Shocking Blue"
"92","The Lovin' Spoonful","The Shadows"
"93","The Lovin' Spoonful","The Rolling Stones"
"94","The Lovin' Spoonful","The Ventures"
"95","The Lovin' Spoonful","The Doors"
"96","The Lovin' Spoonful","The McGuire Sisters"
"97","Andy Williams","Frankie Valli"
"98","Andy Williams","Nancy Sinatra"
"99","Andy Williams","The Animals"
"100","Andy Williams","The Mamas & the Papas"
"101","Andy Williams","Billy Stewart"
"102","Andy Williams","Oliver"
"103","Andy Williams","Shocking Blue"
"104","Andy Williams","The Shadows"
"105","Andy Williams","The Rolling Stones"
"106","Andy Williams","The Ventures"
"107","Andy Williams","The Doors"
"108","Andy Williams","The McGuire Sisters"
"109","Frankie Valli","Nancy Sinatra"
"110","Frankie Valli","The Animals"
"111","Frankie Valli","The Mamas & the Papas"
"112","Frankie Valli","Billy Stewart"
"113","Frankie Valli","Oliver"
"114","Frankie Valli","Shocking Blue"
"115","Frankie Valli","The Shadows"
"116","Frankie Valli","The Rolling Stones"
"117","Frankie Valli","The Ventures"
"118","Frankie Valli","The Doors"
"119","Frankie Valli","The McGuire Sisters"
"120","Nancy Sinatra","The Animals"
"121","Nancy Sinatra","The Mamas & the Papas"
"122","Nancy Sinatra","Billy Stewart"
"123","Nancy Sinatra","Oliver"
"124","Nancy Sinatra","Shocking Blue"
"125","Nancy Sinatra","The Shadows"
"126","Nancy Sinatra","The Rolling Stones"
"127","Nancy Sinatra","The Ventures"
"128","Nancy Sinatra","The Doors"
"129","Nancy Sinatra","The McGuire Sisters"
"130","The Animals","The Mamas & the Papas"
"131","The Animals","Billy Stewart"
"132","The Animals","Oliver"
"133","The Animals","Shocking Blue"
"134","The Animals","The Shadows"
"135","The Animals","The Rolling Stones"
"136","The Animals","The Ventures"
"137","The Animals","The Doors"
"138","The Animals","The McGuire Sisters"
"139","The Mamas & the Papas","Billy Stewart"
"140","The Mamas & the Papas","Oliver"
"141","The Mamas & the Papas","Shocking Blue"
"142","The Mamas & the Papas","The Shadows"
"143","The Mamas & the Papas","The Rolling Stones"
"144","The Mamas & the Papas","The Ventures"
"145","The Mamas & the Papas","The Doors"
"146","The Mamas & the Papas","The McGuire Sisters"
"147","Billy Stewart","Oliver"
"148","Billy Stewart","Shocking Blue"
"149","Billy Stewart","The Shadows"
"150","Billy Stewart","The Rolling Stones"
"151","Billy Stewart","The Ventures"
"152","Billy Stewart","The Doors"
"153","Billy Stewart","The McGuire Sisters"
"154","Oliver","Shocking Blue"
"155","Oliver","The Shadows"
"156","Oliver","The Rolling Stones"
"157","Oliver","The Ventures"
"158","Oliver","The Doors"
"159","Oliver","The McGuire Sisters"
"160","Shocking Blue","The Shadows"
"161","Shocking Blue","The Rolling Stones"
"162","Shocking Blue","The Ventures"
"163","Shocking Blue","The Doors"
"164","Shocking Blue","The McGuire Sisters"
"165","The Shadows","The Rolling Stones"
"166","The Shadows","The Ventures"
